id,open_edges
2400,6922-9164-26787-57761-58814-66805-70614-84273-91942-93212-95589-106317
2401,6924-37608-42336-43114-43180-44688-48686-52314-52420-54389-54880-55116-55605-58832-59002-59831-60072-60878-61166-63576-68299-70694-71286-72320-72658-73540-75578-77246-84054-84194-84202-85634-87344-88656-89036-89327-89328-90180-91920-93790-94170-99108-100128-100570-106366-107246-107848-108944-109240-111113-113310-113344-113946-114118-114528-114626
2402,6927-27408-74524
2403,6928-9370-9858-17712-23500-29462-33288-50766-68738-79270-86840-113036
2404,6931-21611-24561-34701-42395-53813-55209-57809-63239-65937-83169-86431-101673
2405,6933-74059-83431-86853-87935-90771-109149
2406,6937-27950-38649-39121-46151-46864-53912-54298-56581-63453-64177-65419-66075-79419-79793-81322-81758-83393-86353-97015-98005-109489
2407,6940-30973-44690-53486-107032
2408,6951-7460-10382-11550-29400-45701-56738-68307-74992-79880-95218-102124
2409,6952-30862-34945-41888-42218-48654-59148-62880-62948-67061-72722-92696-96000-106308-108531-110937-112229
2410,6959-103297
2411,6962-11017-14203-15816-29782-33044-34893-84056-113372
2412,6965
2413,6977
2414,6979-10805-26059-54355-89107-92507-95959-103569-112987
2415,6981
2416,6987-17883-32003-40967-46263-46443-48173-107171-108321
2417,6988-17088-22588-23920-38730-39134-40314-46998-50503-50801-58548-65802-66288-67852-68279-76054-78508-78574-84306-85870-85995-92204-92480-92880-96918-99514-109452-113752
2418,6991
2419,6994
2420,7002-17518-40342-40740-41689-41693-42649-47006-52703-53718-56398-59513-59647-60996-61009-75461-76058-78653-78912-79970-82587-85253-91322-92425-93684-103458-103730-104406-104705-107105-109861-111269-111976
2421,7006-27964-45313-46607-50316-51683-52309-67679-71292-72877-85742-96138-98852-101627-105300-112873
2422,7008-23225-63827-71498-93622
2423,7013-21249-52475-69639-77065-78213-82103-92767-93889-95163
2424,7015
2425,7016-15303-22864-23570-30324-30743-45112-46868-52451-52814-55018-63581-67125-68653-75181-78114-81634-85378-85449-93287-93926-108252
2426,7019-9276-27044-28664-28741-39553-50053-51468-73469-75855-78199-87341-99450-100837-106554-107365-107551-107797-108721
2427,7020-18162-39664-46590-49362-65462-94893-101118-110272
2428,7022
2429,7027-8615-14039-38363-46377-66667-79029-95715-99479-99783-101731-112793
2430,7028-16006-17542-32244-32269-36330-37847-37922-37971-38677-39609-47261-47530-47546-47914-48365-50836-51553-59995-62074-69405-69820-70730-78392-84134-85320-86451-87371-90769-99591-100663-104728-109556-112995
2431,7032
2432,7035
2433,7041
2434,7047-7614-11876-24930-36313-36586-37233
2435,7050-8275-31717-37343-50465-99291-102209-102222-113891
2436,7057-16804-38130-39689-39859-39971-44353-46301-50277-54154-54425-55908-57957-67235-69353-77438-78706-80815-86989-92703-94087-94344-96916-100145-102669-104418-105854-106439-107655-112601
2437,7058-16136-22128-33022-33372-34236-39371-40725-50544-50671-52998-58124-59031-59903-60003-62588-80334-80457-82193-83823-89984-94570-107925-113515
2438,7064-15358-23228-27168-29450-34542-43146-44802-47077-48300-51382-53594-56839-65415-69187-70456-71618-76304-83502-85310-90688-94028-95176-97036-99929-100036-102741-105005-110182-111324
2439,7067-13174-16035-30524-48431-61052-71477-84173-85491-86553-89355-93434-102474-105601-109913
2440,7069
2441,7071
2442,7083-13523-43444
2443,7087-9852-24823
2444,7089-65843-80293-83320-83847-95979-113265-114145
2445,7093-16617
2446,7098-29838-33200-34102-37862-38224-38426-39306-39887-40003-40290-40378-40612-41866-44030-44408-45558-46046-47576-50154-51580-53408-56164-58761-62110-62326-63428-63874-63979-65316-65592-66904-66910-67736-68604-68782-69688-73196-75348-76444-76930-79084-80558-81012-81034-82370-82783-84296-84722-88012-88540-91130-91955-92448-98918-99734-100084-101832-102288-102476-104726-108734-111104-111202-113040
2447,7101
2448,7104-41986-50291-60275-75463-82544-86903-92166-99851-108855-109012
2449,7108-16060-28382-57426-62550
2450,7112-15350-16636-29304-30159-34360-38977-52070-69648-100156-100966-111965-113035
2451,7114
2452,7116-7496
2453,7122
2454,7124-11307-20911-35567-35899-53835-54175
2455,7129
2456,7131-42715-62462-94999
2457,7146-33393
2458,7152-71053-81658-105912-106974
2459,7161
2460,7167-76572-111134
2461,7170-40021-74435-106512
2462,7173-34873
2463,7180-30242-44212-81494-92174-96746
2464,7183-22637-25675-56555
2465,7187-29793
2466,7189
2467,7190-17844-38668-43573-43668-45032-48515-50206-56296-96092-97854-98467-99354-109464
2468,7192-7472-18697-27078-36055-39573-40754-41008-41014-42418-42588-43037-43683-44016-44936-45212-47408-47450-50809-50977-51170-51350-52237-53096-53598-53946-54153-55755-55839-56157-56193-57534-59726-61067-61170-61465-62104-62784-63487-65135-66302-66935-67590-67961-69370-70897-71099-72885-75038-75206-75395-76757-77226-77657-77932-78195-78637-79387-79447-82631-82753-82977-84187-84413-85108-85384-86813-87968-88468-90737-91793-92800-93757-94364-95155-95680-96295-98285-98454-99169-99532-100080-100355-100705-102542-102694-104545-104707-104880-105632-105968-106451-106497-106710-110856-111353-111490-111914-111990-112841-113043-113794-114458
2469,7194-45185-84716-108525-110533
2470,7196-11228-44704-67378-84490
2471,7204-53363-58357-70751-79551-108222
2472,7211-36372-50381-65473-70978-75842-78553-81700-92958-108571-113745-114560
2473,7221-11048-37907-42286-66902-81030-89874
2474,7224-8328-11240-45574-50943-57272-57855-61490-67328-68673-69988-72564-74602-76274-77158-86844-86918-90680-93408-98292-101828-110154
2475,7226-8914-105139
2476,7234
2477,7237-43407-47511
2478,7239-68418-110041-114898
2479,7258-30626-37696-97518
2480,7264-16295-21731-28992
2481,7266-10575-24765-26043-48885-55251-58519-74466-109625
2482,7269-40969-81549
2483,7271-33310-47806-57558-89964
2484,7272-84575
2485,7276-9604-11036-17974-20270-29864-39696-40909-44304-46112-47222-48246-51368-51844-53060-53998-55938-61890-63002-71652-74340-78040-78128-78371-83754-87776-89170-89254-91358-91375-95316-98170-98180-98226-100238-100378-105472-106296-108274-111096-111264-111714-113665
2486,7278-15678-41993-42889-57598-87392-107078
2487,7280-25778-25804-34242-55389-63451-68615-99616
2488,7283-10817-32779
2489,7286-16292-26862-40676-45509-47270-51768-53738-55290-57678-59590-61784-66636-83661-87355-89502-90842-93004-99815-100450-102417-105872-107975-109668
2490,7289-34625-55769-61833-105821-108025
2491,7290-9514
2492,7293-59627-91081
2493,7295-14272-36185-108450
2494,7299-11335-61229
2495,7305-36635-57139-77492
2496,7317-15957-57096
2497,7318-39930-42999-50674-61624-63900-75218-80802-86384-89056-89344-101478-107502
2498,7320-7620-8040-17400-44474-101214
2499,7324-10296-12481-24154-42599-58086-62129-66786-69670-88758
2500,7326-11824-12823-16081-18177-29429-51164-56935-75662-93667-95685-101616
2501,7334-93229-94279-97377
2502,7337-18855
2503,7341
2504,7348-15866-25919-31804-63004-78821-89084-93676
2505,7355-9126-29999-32205-39669-45846-59514-61137-62019-63375-67405-74479-83891-85172-88513-88595-89869-89971-91282-91922-96143-98054-101463-103829
2506,7356-9157-27761-34670-61417-61518-68587-75779-76770-77988-81806-83083-84451-95994-103295-104969-105995-106182-114584
2507,7359-9117-9188-54670-70440-85685-108273-110781
2508,7362-44922-56504-59844-69660
2509,7377-24249-24499-37065-38790-44089-49239-53790-81227-84043-95047-96665-105553
2510,7379-37026
2511,7380-35308-81548
2512,7384-26571-28812
2513,7386-37228-65502
2514,7388-93774
2515,7393-16129-26711-30266-32619-39631-41687-42647-47896-48009-57173-62655-65906-66177-68871-79281-79767-83563-84233-93271-104547-112217
2516,7395-36858-69341
2517,7398-34871-78906
2518,7401-12793-23793-24404-26147-33443-36935-39653-40287-41071-41101-47022-51021-54877-55791-56875-60423-62411-63229-66449-67220-75315-77943-85992-97795-103733-112615-113810-114177
2519,7404-9812-13664-21759-22998-28711-36702-38550-81908
2520,7407
2521,7412-24512-30996-31396-45417-86329-89607-97121
2522,7414-28672-49640-70519-97527-97980
2523,7418-7887-8182-10753-14447-17703-19719-21923-30609-30625-37671-40348-44180-44846-47149-47419-47514-50059-50706-53416-56024-56638-56707-56970-58585-63771-66327-66642-69685-71131-73323-75889-77933-77941-79011-79796-81739-83313-83420-84045-84580-85254-86090-88262-89231-90903-92815-93227-93356-95249-95276-96179-100361-100768-101001-101213-103047-103251-108047-110123-110599-111411-112255
2524,7423
2525,7427-11507-18583-19331-21917-25939-41731-60845-68545-93135-95091-98019-102151-106759
2526,7433
2527,7434-41428-43266-43526-47628-48416-50275-51288-52192-52494-54340-56714-61526-62092-66808-68440-69864-69994-70434-71516-72762-72972-75892-76252-76700-77614-77928-78990-79164-79468-80248-81952-83250-86448-88278-89197-91140-93815-93908-94766-95424-95584-97672-97740-99094-104380-105468-109340-110050-110254-110470-110854-112388-112906-113958-114144
2528,7436
2529,7441
2530,7442-59578-61390-87544
2531,7445-44413
2532,7447
2533,7451
2534,7452-90952
2535,7455-19490-39672-49081-62999-97278-99999-106872
2536,7456
2537,7459-102119
2538,7462-9549-10886-16800-19141-19759-22848-24586-25502-35779-37494-37932-41761-42805-44208-44895-45304-46244-46785-47582-51453-52480-53492-55019-56418-56542-56572-58112-60041-63097-64668-65687-67743-68894-69740-69910-70341-71335-72610-76344-76484-78448-78617-79347-80120-80748-81078-81089-81944-82029-83464-84529-85350-86237-88639-91267-93719-93806-94212-97288-98786-98789-101740-102525-102557-102791-103497-103729-104619-106861-107007-110586-113553-114258-114494-114738-114860
2539,7464-8186-9587-20106-28968-100114-108628
2540,7471
2541,7474-15742-41714-66038-76628-79330-85706-111518
2542,7477-60401-64307-66374-76217-100255-100785-113816
2543,7483-32864-38644-92456
2544,7485-42991-48425-56906-69803-70954-70989-73260-75772-85950-95836-101533-103162-109623
2545,7488
2546,7492-112252
2547,7499-10526-53774-71594
2548,7503
2549,7507-19049-28937-29881-59771-74087-75313-94306-100765-112056
2550,7510-27070
2551,7512-16614-67470-68784-107258
2552,7517-53296-74787-75527-79209-90199-109171
2553,7523-39152-43645-56463-112655
2554,7525-10292-13880-14979-20004-38245-44364-46182-46650-47738-50112-51963-54046-59010-59822-63256-65700-65862-66454-72199-77526-78415-79941-83769-84886-85004-85189-85597-86216-87666-88452-88786-93678-94100-95207-95585-97434-98750-101602-103670-104049-105591-106288-106842-106878-111105-112256
2555,7529-108995
2556,7531
2557,7536-11137-11438-16052-17057-32777-47603-51789-78795-83391-90391
2558,7542-43352
2559,7550-42400-57390-60817-72446-78132-87226-98796-109978-113606
2560,7557-29061-34168-75460
2561,7561-24647-32899
2562,7573-8617-11539-14657-16287-18107-19747-20897-21065-21081-21897-22377-24671-25573-26329-29347-33349-37399-37957-38299-38497-38535-38567-40383-41287-41327-41509-41927-44749-44977-45803-45959-47053-47193-47473-47823-47929-48209-48739-51203-51227-51251-51465-51775-51861-51879-52441-52854-53033-54807-55509-55577-57085-58685-58807-58965-59455-59507-60479-61069-61879-62379-62787-63109-63749-63927-63997-64518-65162-65423-65837-66643-67118-67539-67705-68271-68533-69389-69689-69825-70015-70433-70579-70933-71949-72269-72603-72823-72895-72947-73259-73783-74219-74267-74634-74831-75039-75135-76257-76273-77601-78725-79063-79357-79923-79985-80411-82419-82429-82569-83161-83594-84364-85095-85257-86285-86423-87311-87347-87797-87961-88239-90315-91305-91693-91873-92029-92471-92623-92721-93199-93387-94585-95299-97081-97331-97907-98367-98457-99683-99859-100165-100397-102121-102123-102711-103501-105471-105519-105699-105831-105907-107367-107683-107733-108536-108573-108971-109831-110053-110383-111011-111207-111317-111979-112335-112433-112453-112473-112489-114153-114197
2563,7574-14314-29332-31146-31976-39352-44640-58694-63884-88572-110916
2564,7580
2565,7587
2566,7588-18181-97646
2567,7593-45409
2568,7595-21210
2569,7597
2570,7600-8828-8874-8910-15058-21298-22104-22506-37502-37538-37577-38104-38110-38119-38244-39034-39332-39388-39532-39740-39792-39868-39879-40538-40734-40866-41260-41450-41494-41728-41849-41958-42104-42320-42377-42638-42883-43158-43397-43448-43502-43692-44314-44582-45118-45231-45240-45258-45344-45620-45929-46032-46090-46408-46729-46766-46784-46886-47082-47706-47729-47940-47996-48220-48732-48760-48876-49080-49234-49342-49612-49670-50026-50260-50575-50592-50962-51009-51182-51532-52448-53406-53606-53700-53849-53884-54116-54148-54152-54199-54751-55094-55263-55464-55593-56000-56238-56372-57254-57312-57324-57448-57560-58280-58476-58506-58579-58640-58892-58944-59446-59762-59820-59908-60272-60616-60684-60707-61045-61179-61266-61740-62485-63248-63426-63598-63612-64450-64726-64772-65122-65182-65292-65380-65816-66274-67490-67582-67923-69009-69082-69440-69743-69824-69982-70170-70296-70306-70520-70894-70936-71032-71195-71510-71528-71695-71782-72028-72324-72364-72890-73055-73064-73684-73800-73836-73960-74262-74442-74925-75676-75856-75871-75909-76176-76718-76848-77224-77502-77981-78124-78316-78554-78790-78846-79146-79800-79836-79966-80173-80325-81426-81764-82696-82786-82864-83044-83318-83896-83924-84026-84338-84450-84556-84898-84974-85312-85316-85342-85778-85796-85810-85942-86323-86867-87137-87182-87196-87317-87994-88092-88168-88210-88218-88340-88446-89078-89229-89356-89367-89498-89828-89872-89920-89966-90034-90546-90785-90827-90870-90896-90904-91178-91898-92220-92246-92295-92331-92580-92584-93116-93490-93524-93550-93810-94046-94078-94178-94236-94332-94445-94490-94494-95184-95197-95464-95544-96146-96506-96754-96876-96942-97745-97754-97816-98088-98116-98294-98832-99124-99152-99348-99351-99490-99516-99569-99758-100158-100442-100579-101116-101180-101729-101802-101958-102048-102150-102270-102448-102803-102846-102928-103514-104238-104516-105120-105672-105992-106286-106528-106530-107130-107242-107253-107332-107868-108264-108466-108469-108580-108596-108720-109592-109848-110502-110629-111002-111226-111382-111674-111814-111964-112110-112786-112844-113074-113370-113466-113670-113970-114234-114238-114282-114616-114630
2571,7602
2572,7609-109687
2573,7610
2574,7612-8092-33584-36352-70096-101424-112508
2575,7617-33508-112698
2576,7622-39544-40124-51810-53502-62908-65662-66515-72221-80118-91791-95013-98034-99685-110373
2577,7625
2578,7627
2579,7629-68426
2580,7630-8804-24856-27546
2581,7635-12611-22885-29889-35741-42645-54079-54349-60124-64747-66205-69207-77092-90563-95213-98375-98382-100435-103054-103987-109051-111901-114576
2582,7637
2583,7639-39277-77225-84595-108007
2584,7640
2585,7642-37402-38103-38996-39606-41812-41886-42109-42381-43099-44560-46290-46588-48075-48770-49103-50111-51461-51489-52577-54362-54508-54756-56811-57509-57884-58158-58592-59841-61246-63496-64306-65341-65961-66392-66565-66733-66745-67427-67717-68026-68286-68321-68513-69136-69903-71505-72467-72874-73241-74623-74728-75289-75483-76722-77176-77330-77563-79007-81317-81477-81681-81922-82259-84894-84916-85086-85632-86382-88493-88937-89171-89842-90088-91337-91503-91797-92187-92641-94216-94616-94779-95855-95983-96832-97689-98407-98430-98771-99037-99937-100510-101800-102685-102709-103581-104377-104698-106481-106797-107167-107191-107747-107804-107887-109303-111213-113913
2586,7646-14374-24058-39743-40484-49511-53792-56261-59051-76414-84591-86856-89444-99198-103502-107190-107720
2587,7650-8389-9121-10379-11055-12641-14119-14693-17320-20447-21627-26935-27327-32730-38297-39027-39197-39480-39675-40557-41027-41041-41165-41247-41805-42135-43117-43609-44537-44853-44931-45733-46546-46651-46719-47391-47792-47875-48145-48423-48428-48574-49162-49344-49652-50173-50633-51268-52113-52275-52443-52605-52662-53072-53169-53177-53783-53899-54563-54822-55056-55553-55603-56521-57347-57605-57949-58189-59803-59893-60006-60315-60431-61209-62237-62533-63105-63157-63651-63913-64317-64771-64851-65517-65873-66002-66122-66183-66975-67293-67876-68178-68599-69419-70880-71575-71687-72191-72272-72638-72729-73478-73557-74421-74715-74855-75281-75435-76059-76551-76643-76725-76903-77335-77499-77507-77812-78435-79629-79885-80563-80685-81047-82263-82459-82612-83277-84113-84197-84305-84322-84821-84885-84895-85008-85243-85783-86111-86235-86263-86582-87367-88221-88359-88485-88707-88789-89525-89665-89735-89752-90677-92950-93734-93949-94097-94191-95160-95275-95484-95571-95813-96111-96499-97131-97553-97579-97788-98023-98167-98234-98257-99304-99372-99388-99476-99527-100061-100095-100283-100683-101143-101681-101881-101886-102471-103197-103712-104311-104417-104523-104997-105259-105277-105502-105511-106999-107131-108179-108449-108473-108811-108993-109002-109236-109833-110399-110613-111063-111249-111323-111585-112347-112717-112751-112888-112921-113067-113334-114047-114422-114855
2588,7652-34370-34530-98420-101706
2589,7658-17006-25676-34288-77120-109504
2590,7661
2591,7664-9394-11248-11886-20222-46699-50867-51377-54488
2592,7666-47070-53322-68016-69914-75200-94000-102952
2593,7673
2594,7679
2595,7681-62305-74187-83745-91687
2596,7687-45153-87059-88305-100561-111327
2597,7694-11769
2598,7697
2599,7702-12744-28068-36484-37552-37636-39014-40324-41070-42982-43100-44008-44402-45342-48780-50946-51632-58264-58416-59162-66962-68618-76130-79716-80166-83570-89066-92256-92994-94498-96090-98564-102062-105730-107834-108280-109794-110906-113319-114760
2600,7705-26423-34127-96457
2601,7706-10362-57654-111790
2602,7709-8945-10709-17157-20789-23783-26427-28591-33773-41929-45093-45677-46463-47427-50189-50773-52687-54503-54741-55079-55659-56167-56201-56879-58861-59387-59779-60155-60185-61665-61935-62761-65061-65083-65219-66959-67483-67759-68509-68855-69489-72707-78385-79005-79329-79385-80627-81759-81929-82477-82855-84425-85039-85525-86179-86517-88409-95421-96255-97007-97417-101625-103269-104451-106185-108593-109157-109415-111377-112108-114347
2603,7711
2604,7714-69805-72480-82673-83815-84994
2605,7716-9412-10116-20344-31096-32986-37080-38464-45546-52222-60110-86702-87778-88781-95340-96436-98828-101088-103748
2606,7719
2607,7723-8523-10849-14167-30536-33205-33321-33351-37887-56681-64273-68886-72463-74498-82027-86061-86998-87575-90868-91004-94909-95415-99799-100301-107106-107787-107824
2608,7727-14954-39507-48420-53909-58621-81590-103154
2609,7732-8102-23484-25968-113357
2610,7737
2611,7739
2612,7740-17566-53759-84525-85034-103888
2613,7743-107927
2614,7751-54044
2615,7752-36640-39010-41296-48398-52495-60934-64126-66776-70172-73010-74666-75318-75356-76316-77411-78754-79838-83168-84348-86986-95922-96108-97728-100416-102046-102292-103640-103866-106292-109917
2616,7757
2617,7758
2618,7760-17036-25344-33292-35804-37354-37486-37800-38140-38188-38884-42987-43406-43446-44674-44896-46305-47074-47512-47798-49995-50022-51854-51993-54110-55809-57462-58222-58395-58756-59129-59142-59725-60402-62060-62928-63394-66200-67804-70628-71444-71610-71752-72352-73099-74762-75065-76074-76411-76596-77050-78010-81926-82248-83856-84196-85408-85826-86170-86364-87858-89912-90853-91227-91566-92064-92621-93804-94250-94651-94974-95988-97060-98154-100277-100569-101401-102194-103084-108154-109692-112080-112411-113731
2619,7762-26724-38128-61460-88122
2620,7765
2621,7766
2622,7771-96106-102251
2623,7775-10809-29487-34333-63447-63990-108209
2624,7778-28075-39836-41280-48046-50204-53772-64263-67904-71034-77344-84114-88796-89301-90253-95711-104884-105558-109272-110843
2625,7782-35286-42147-46513-87185-107526-110526-111351-111929
2626,7785
2627,7795-38517-40703-47007-50803-58537-62554-67144-77744-80835-81101-88887-107453-112221
2628,7797-12683-36581
2629,7799-8888-14170-20548-22794-34932-38231-39793-39932-40280-43482-47712-48454-49341-49986-52074-53637-55995-57530-60794-63216-67745-75225-76266-78938-80058-82163-84930-88143-88847-91216-94911-95783-100922-101275-101987-106190-106856-109440-110745-111832-113082-113805
2630,7803-44367-85461-89123-96841-114497
2631,7805-14775-31691
2632,7807-12362-14507-32846-38728-39504-40121-40839-43341-44029-44544-44576-44787-45121-45203-45813-46427-46438-46927-47283-48004-48105-48441-48473-48909-49766-49989-51659-51762-53028-53161-53913-54191-54242-55610-57601-58637-58673-59303-60733-61757-62144-65195-66379-66780-68889-69299-69811-70087-70711-73407-74324-74743-74965-75792-76269-76707-76777-77653-78155-78626-78963-80256-80591-83531-83580-84150-85043-85278-85907-85959-86395-86738-89329-89678-92021-92164-95233-96684-97616-97737-98303-99352-99583-100483-101955-103319-104163-104229-105003-105721-105751-106159-108380-108426-109131-109583-111332-112179-112582-112933-113177-113399
2633,7810
2634,7814-35824
2635,7816
2636,7818-36628-45593-52116-74588-81696-92238
2637,7822
2638,7828-23704-38066-81334-94934-106457
2639,7830-14556-15248-64288
2640,7834
2641,7836
2642,7839-41374-55947-83252
2643,7840-11521-55433-97812
2644,7843-11061
2645,7845
2646,7848
2647,7855-52133-68796-72577-103737
2648,7856-8714
2649,7859-25857-37519-38995-41221-75537-89429-93809-100473-101087-107941
2650,7860-17691-20045-26311-26804-34784-37375-37560-37627-37918-38893-39433-40067-40083-40440-41503-41513-41597-41795-42091-42273-42397-42530-42661-42709-43349-43555-43780-44273-44327-44705-44932-45192-45512-45793-45843-45870-46466-47251-47488-47732-48415-48657-49404-49547-50120-51764-51994-52065-52430-52483-52526-52981-53099-53419-53616-53727-53876-54324-55114-56085-57733-58220-58391-58446-58700-59525-59699-60468-60718-61145-61677-61955-62347-62774-63566-63589-63692-63938-64173-64669-65103-66145-66587-66624-67071-67082-67888-68034-68520-68747-69045-69120-69346-69538-70191-70604-71185-71249-71662-71746-72133-73519-73551-73787-73889-74681-75016-75113-75173-75679-75962-75969-76288-76331-76419-76616-76758-76902-77130-77166-77298-77515-77522-77740-78241-78292-78368-78381-78630-78865-79032-79129-79251-79382-79531-79547-79773-79913-80215-80269-80602-80823-80919-81480-81984-83227-84022-84810-85130-85472-85663-86094-86589-86774-86787-86845-86996-87320-87536-88049-88115-88440-88459-88620-88769-88921-89106-89893-90226-90777-91916-92017-92858-93315-93389-93420-93442-93581-93921-94061-94198-94563-95801-95949-96154-96647-96831-97103-97129-97170-97391-97491-97698-97866-98082-98586-98801-98916-99597-100198-101409-102933-103204-103530-103716-103955-104360-105030-105254-105549-105878-105885-106007-106054-106102-106244-106270-106911-107795-108004-108415-108515-109471-109528-110870-111187-111894-111900-113012-113773-114188-114336-114638-114754
2651,7865-8810-10163-19641-28227-32875-34649-37883-41293-41974-48768-51289-52421-52569-61334-63523-69137-77699-82853-83591-89000-90691-91405-92737-93095-103533-108867-109305-110295-114365
2652,7869
2653,7883-20873-22221-29859-33587-34227-42361-48155-48835-63823-72405-72727-72749-75647-75943-76173-79461-95413-98911-100337-102423-105563-109801
2654,7884-23070-59576-77157-81353-81514
2655,7889-23132-24686-30093-37331-44967-73445-79181-81901-83133-89671-101165-107591-107981
2656,7892-8010-27792-31672-99568
2657,7895-31519-43165-57385-74134-99803
2658,7902-9696-79590-88070-91896
2659,7905
2660,7907-10281-13148-70119-70124-81974-87002-96883-98768-103656-106043-108033
2661,7915-39044-45017-45951-46379-46521-50540-54007-60379-64475-65041-65445-65717-67223-69491-75109-81751-83174-89155-93085-97275-98779-109743-112249-114017-114873
2662,7922-10150-24894-45452-48240-49212-51048-54760-57386-67991-68964-69267-69328-74580-75004-86078-87212-87381-91046-95094-104084-107670-109523
2663,7924-56850
2664,7927
2665,7934-43416
2666,7940-22354-33140-44476-50556-75824-80326-80462-94284-109712
2667,7948-11022-26802-26986-38302-38614-39011-39790-42412-43532-44232-47904-52252-54536-57276-58768-59022-62440-63636-67348-68516-73778-76171-80072-80276-83476-86570-87042-87644-89492-92008-93896-94938-95512-98104-100102-100610-101258-101496-101769-103184-103256-104558-105488-107414-108255-109542-114228
2668,7951-64767-68291-85289
2669,7953-11457-20427-23349-26855-84295-112637
2670,7958-9012-10114-23883-44202-51514-56849-58180-66100-73635-75548-76007-80175-85828-98198-100911-110322-114039
2671,7961-17679-20611-27415-51705-69307-69537-74005-90753-109319
2672,7962-10463-25792-28642-47956-89260-90209-93183-95679-105736
2673,7966-9902-22556-30630
2674,7968
2675,7975-28841-32806-78215
2676,7977-104963
2677,7979-40705-49233-59899-69483-71655-72844-73856-83898-84814-95185-107875-112269
2678,7980-13571-22523-28363-89047
2679,7988-11467-16326-36494-50009-73108-91545
2680,7992-65548
2681,7994-39413-54262-86050
2682,7996
2683,7998
2684,8001-18536-18827-32862-48236-48704-54293-56447-57934-58682-60622-63456-87180-91348-93290-98738-98959-112064
2685,8003-14283
2686,8007-50849-78899-101483-110519
2687,8012-46461-46918-54691
2688,8021-8467-76975-83069
2689,8023-102453
2690,8026-19374-34248-36780-72997-102616
2691,8029-14912-19990-21218-31050
2692,8033-24352-25190-31772-39948-41830-43145-53880-54626-60826-61716-64756-66000-66090-74734-80398-80546-82134-84400-89536-89882-91912-93566-94222-102072-106546-106860-107182-110766
2693,8035
2694,8038-23050-33058-40812-55482-64987-75088-79637-81395-83741-84131-86523-91296-92857-95616-107573-109503-113505-114353
2695,8054-18440-22937-39404-69785-72070-114736
2696,8057-14851-18047-19481-26031-31881-32833-33780-39565-75385-75455-82168-86200-86622-92127-102247
2697,8063-36677-57073-59547-64009-82875-98395-113289
2698,8067-10746-56432-72538-73076-91964-94064-101085-107779-110749
2699,8071
2700,8074-14334-14394-43412-44464-49772-54104-70175-80912-91818-114516
2701,8081-11631-33211-37511-53350-57683-61969-75227-79661-80299-84323-93895-96635-97781-107653-113630
2702,8084-9212-25702-44868-57796-58258-61160-66724-81444-89312-90146-101580
2703,8088-88058-91946
2704,8090-41773-86447-92227
2705,8107
2706,8110
2707,8115-68560
2708,8116
2709,8118-17021-26380-74752-82735
2710,8121-8739-45303
2711,8124-12868-20411-24770-35958-36852-38964-39281-40371-41814-43782-49606-53768-54471-55380-56045-56633-58300-61548-62618-63062-64630-65277-73165-73399-75130-77568-78430-80124-83136-83939-85148-87794-88453-89592-92932-93056-93683-95474-97488-98030-101334-102667-103488-105218-106318-106450-108056
2712,8126-11842-29510-41145-44994-45469-46654-63158-68031-68234-79722-84912-99822-108178-108350-112076
2713,8130-38684-54936-93326
2714,8136-56423-67002
2715,8140-45050-57994-73326
2716,8146-10046-14908-17536-19064-35186-35256-49490-68678-87316-105986
2717,8150
2718,8153
2719,8156-26402
2720,8158-20816-22658-23002-24874-33062-37992-40420-40578-45566-64740-68300-68746-79484-93318-98148
2721,8165-25207-68880
2722,8171
2723,8181-16995-22369-29037-29933-40925-46969-51995-53055-57433-58247-58793-60161-65095-68627-74213-74665-82568-84423-87191-87845-87849-88533-89531-90621-91009-94245-95291-95829-96259-97947-99125-99335-108429-113455
2724,8184-15012-18332-20791-23912-43562-54740-81014-113672-114034-114769
2725,8189-20409-22111
2726,8191-14389-23419
2727,8192-11926-36400-42038-61188-82312-99614-108700
2728,8194
2729,8197-30249-32623-59037-67558-76807-100919
2730,8207-28829-43640-51409-68352-70888-71561-72128-72244-72491-74415-77073-81838-90011-93395-94217-96531-99119-100063-106753
2731,8209-48775
2732,8215
2733,8221-24440-35338-89551-91591
2734,8222-14630
2735,8225-10477-22665-24193-41193-44141-50459-57023-61903-64853-67857-78019-84083-89015-97875-98475-111359
2736,8228-29248-43567-57124
2737,8233-18535
2738,8234
2739,8239-10456-22633-28619-42465-42949-45583-46003-53745-57361-60373-80279-86095-87419-96773-100653-103205-104361-104465-105656
2740,8243
2741,8244-11830-35910-46549-46975-47562-58136-77028-77168-79620-79824-84479-91706-93244-101512-108021
2742,8247
2743,8256-15688-19728-23120-35743-37316-40534-40914-42050-42886-44084-44962-47471-49078-49442-51056-52640-53441-53938-54102-54728-55140-57226-57574-58192-58194-58314-58890-59972-60562-61030-62044-62805-65758-66890-67032-67132-67260-68008-68656-69118-69974-72090-72198-72430-73048-73574-73588-73658-73880-76784-78101-79390-80322-81148-82906-84386-84403-87678-88530-89770-90742-91454-92472-92500-93964-94192-96618-96739-97360-99408-103014-103360-106122-106414-106630-107014-108180-108424-111130-112118-112929-113950
2744,8258-10175-23270-41776-56014
2745,8263
2746,8269-27235-34054-39130-39741-45158-47522-57840-58551-61337-62180-64517-65776-71948-83099-87462-92270-92742-95408-98416-100446-103405
2747,8270-10368-11293-25129-26336-44698-49351-51877-63266-76744-81021-83801-101002-113890-114791
